"","V2","V7"
"877",21825,"712.22"
"878",21899,"BR"
"879",21920,"107.1"
"880",21925,"421.52"
"881",21930,"639.54"
"882",21935,"1206.41"
"883",22100,"688.5"
"884",22101,"688.5"
"885",22102,"688.5"
"886",22103,"188.96"
"887",22110,"902.7"
"888",22112,"902.7"
"889",22114,"902.7"
"890",22116,"261.63"
"891",22210,"2543.63"
"892",22212,"2470.95"
"893",22214,"2514.56"
"894",22216,"755.82"
"895",22220,"2688.98"
"896",22222,"2616.3"
"897",22224,"2659.91"
"898",22226,"799.43"
"899",22305,"153"
"900",22310,"392.45"
"901",22315,"612"
"902",22325,"1656.99"
"903",22326,"1802.34"
"904",22327,"1729.67"
"905",22328,"523.26"
"906",22505,"76.5"
"907",22548,"2122.11"
"908",22554,"2049.44"
"909",22556,"2267.46"
"910",22558,"2049.44"
"911",22585,"610.47"
"912",22590,"2340.14"
"913",22595,"2383.74"
"914",22600,"2049.44"
"915",22610,"1904.09"
"916",22612,"2049.44"
"917",22614,"625.01"
"918",22630,"2180.25"
"919",22632,"595.94"
"920",22800,"2485.49"
"921",22802,"2979.68"
"922",22804,"3575.61"
"923",22808,"2383.74"
"924",22810,"2877.93"
"925",22812,"3328.52"
"926",22830,"2296.53"
"927",22840,"2282"
"928",22841,"72.68"
"929",22842,"2441.88"
"930",22843,"2601.77"
"931",22844,"2776.19"
"932",22845,"2514.56"
"933",22846,"2674.44"
"934",22847,"2863.4"
"935",22848,"BR"
"936",22849,"1366.29"
"937",22850,"930.24"
"938",22851,"784.89"
"939",22852,"1075.59"
"940",22855,"1787.81"
"941",22899,"BR"
"942",22900,"392.45"
"943",22999,"BR"
"944",23000,"443.7"
"945",23020,"857.57"
"946",23030,"306"
"947",23031,"306"
"948",23035,"596.7"
"949",23040,"813.96"
"950",23044,"504.9"
"951",23065,"107.1"
"952",23066,"275.4"
"953",23075,"229.5"
"954",23076,"443.7"
"955",23077,"3066.89"
"956",23100,"712.22"
"957",23101,"697.68"
"958",23105,"1279.08"
"959",23106,"857.57"
"960",23107,"944.78"
"961",23120,"683.15"
"962",23125,"1133.73"
"963",23130,"683.15"
"964",23140,"459"
"965",23145,"703.8"
"966",23146,"596.7"
"967",23150,"857.57"
"968",23155,"1075.59"
"969",23156,"930.24"
"970",23170,"639.54"
"971",23172,"857.57"
"972",23174,"1424.43"
"973",23180,"504.9"
"974",23182,"596.7"
"975",23184,"857.57"
"976",23190,"683.15"
"977",23195,"1133.73"
"978",23200,"902.7"
"979",23210,"1424.43"
"980",23220,"1424.43"
"981",23221,"1715.13"
"982",23222,"1738.58"
"983",23330,"91.8"
"984",23331,"443.7"
"985",23332,"1569.78"
"986",23350,"45.9"
"987",23395,"1424.43"
"988",23397,"BR"
"989",23400,"1424.43"
"990",23405,"770.36"
"991",23406,"930.24"
"992",23410,"1046.52"
"993",23412,"1322.69"
"994",23415,"749.7"
"995",23420,"1744.2"
"996",23430,"930.24"
"997",23440,"857.57"
"998",23450,"1598.85"
"999",23455,"1627.92"
"1000",23460,"1700.6"
"1001",23462,"1540.71"
"1002",23465,"1424.43"
"1003",23466,"1598.85"
"1004",23470,"1584.32"
"1005",23472,"2558.16"
"1006",23480,"841.5"
"1007",23485,"1162.8"
"1008",23490,"885.08"
"1009",23491,"1094.85"
"1010",23500,"153"
"1011",23505,"275.4"
"1012",23515,"872.1"
"1013",23520,"153"
"1014",23525,"275.4"
"1015",23530,"872.1"
"1016",23532,"1061.06"
"1017",23540,"153"
"1018",23545,"229.5"
"1019",23550,"930.24"
"1020",23552,"1264.55"
"1021",23570,"153"
"1022",23575,"290.7"
"1023",23585,"1162.8"
"1024",23600,"214.2"
"1025",23605,"397.8"
"1026",23615,"857.57"
"1027",23616,"1715.13"
"1028",23620,"153"
"1029",23625,"290.7"
"1030",23630,"872.1"
"1031",23650,"198.9"
"1032",23655,"336.6"
"1033",23660,"857.57"
"1034",23665,"306"
"1035",23670,"1162.8"
"1036",23675,"413.1"
"1037",23680,"1322.69"
"1038",23700,"247.1"
"1039",23800,"1424.43"
"1040",23802,"1642.46"
"1041",23900,"1816.88"
"1042",23920,"1351.76"
"1043",23921,"413.1"
"1044",23929,"BR"
"1045",23930,"306"
"1046",23931,"306"
"1047",23935,"566.87"
"1048",24000,"784.89"
"1049",24006,"784.89"
"1050",24065,"107.1"
"1051",24066,"306"
"1052",24075,"229.5"
"1053",24076,"443.7"
"1054",24077,"1424.43"
"1055",24100,"639.54"
"1056",24101,"784.89"
"1057",24102,"1133.73"
"1058",24105,"392.45"
"1059",24110,"915.71"
"1060",24115,"1206.41"
"1061",24116,"1017.45"
"1062",24120,"770.36"
"1063",24125,"973.85"
"1064",24126,"872.1"
"1065",24130,"770.36"
"1066",24134,"857.57"
"1067",24136,"857.57"
"1068",24138,"857.57"
"1069",24140,"857.57"
"1070",24145,"673.2"
"1071",24147,"612"
"1072",24149,"1129.42"
"1073",24150,"1206.41"
"1074",24151,"1787.81"
"1075",24152,"1569.78"
"1076",24153,"1787.81"
"1077",24155,"1104.66"
"1078",24160,"612"
"1079",24164,"413.1"
"1080",24200,"91.8"
"1081",24201,"306"
"1082",24220,"76.5"
"1083",24301,"1002.92"
"1084",24305,"443.7"
"1085",24310,"504.51"
"1086",24320,"1133.73"
"1087",24330,"857.57"
"1088",24331,"1133.73"
"1089",24340,"973.85"
"1090",24341,"973.85"
"1091",24342,"1002.92"
"1092",24350,"413.1"
"1093",24351,"504.9"
"1094",24352,"581.4"
"1095",24354,"566.87"
"1096",24356,"712.22"
"1097",24360,"1569.78"
"1098",24361,"1569.78"
"1099",24362,"1569.78"
"1100",24363,"2354.67"
"1101",24365,"673.2"
"1102",24366,"973.85"
"1103",24400,"973.85"
"1104",24410,"1133.73"
"1105",24420,"1133.73"
"1106",24430,"1220.94"
"1107",24435,"1686.06"
"1108",24470,"1104.66"
"1109",24495,"857.57"
"1110",24498,"1133.73"
"1111",24500,"198.9"
"1112",24505,"504.9"
"1113",24515,"1046.52"
"1114",24516,"1133.73"
"1115",24530,"183.6"
"1116",24535,"520.2"
"1117",24538,"973.85"
"1118",24545,"1162.8"
"1119",24546,"1116.9"
"1120",24560,"319.77"
"1121",24565,"413.1"
"1122",24566,"642.6"
"1123",24575,"780.3"
"1124",24576,"214.2"
"1125",24577,"413.1"
"1126",24579,"896.79"
"1127",24582,"612"
"1128",24586,"1160.51"
"1129",24587,"1569.78"
"1130",24600,"198.9"
"1131",24605,"260.1"
"1132",24615,"872.1"
"1133",24620,"413.1"
"1134",24635,"1071"
"1135",24640,"61.2"
"1136",24650,"183.6"
"1137",24655,"306"
"1138",24665,"770.36"
